V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
0,0.0784789128980282,0.3355691730314512,0,0,0,0,0,0,1.0068485362550894,0,0,0.22811355572321526,0,0,0,0,0,0.10705842954195588,0,0,0,0,0,0,0.08152104093330857,0,0,0,0,0,0,0,0
0,0.19681515308586273,0,0.14102685350708702,0,0,0,0,0.040886485427624485,0.2517858565790802,0,0,1.5286748022467256,0.09851573835637108,0.13265037634984303,0,0,0,0.22034625641409156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0874134186553027,0,0,0.09050991728683228,0,0,0.06373917626918334,0,0.22811355572321526,1.5286748022467256,0,0,0.13559834360669487,0,0,0,0.058254658818995775,0,0,0,0.10878461529681774,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.006541681589305108,0,0,0.09851573835637108,0,0,0.5270927244821146,0.1044015098497727,0,0.12057002900925558,0.1478861281274865,0.03427052990897532,0,0,0,0,0,0,0,0,0,0.08138644943905578,0.1054730173975851,0.07034471241184845,0,0
0,0,0,0,0,0,0,0,0,0,0,0.13265037634984303,0.13559834360669487,0.5270927244821146,0,0.10989021924012801,0,0.05452369765643225,0.2978040276500389,0,0,0,0,0,0,0,0,0,0.039302951829733035,0,0,0,0,0
0,0.09272362499654727,0.0833816866793603,0,0,0,0,0,0.0038701618140255713,0,0,0,0,0.1044015098497727,0.10989021924012801,0,0.393397268076972,0.20023308319725094,0,0,0,0,0,0.08522733882454539,0.12437513124922932,0.023840520127553635,0.07038270106159172,0,0.09066954695707571,0,0,0,0,0
0.06838185669249383,0,0.08065601533103339,0,0,0.09281449606065822,0,0.1898027118433859,0.08149601213963448,0,0,0,0,0,0,0.393397268076972,0,0.02334905202913315,0,0,0,0,0.05418724574006442,0.06351922811682725,0.13432931262049946,0.05743806776733275,0,0,0.04214351004087359,0,0,0,0,0
0.009000474503196576,0.14781228642012256,0,0.032334112577701975,0,0,0,0,0.05112776404950622,0.06946222297049735,0,0,0,0.12057002900925558,0.05452369765643225,0.20023308319725094,0.02334905202913315,0,0,0.04226731747181907,0.03644724174825778,0.040373498059556756,0.05643426813795078,0,0,0,0.25491654262124336,0.1283902946410205,0.03262931512247354,0.07550050479112358,0,0,0.05739892888049289,0
0,0,0.05998703045156349,0.05993784138204308,0,0.06001953209729582,0,0,0.005831381806358406,0.14626300730124425,0.10705842954195588,0.22034625641409156,0.058254658818995775,0.1478861281274865,0.2978040276500389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872471311067683,0,0,0,0
0,0,0,0,0,0,0,0,0.027129470281308674,0,0,0,0,0.03427052990897532,0,0,0,0.04226731747181907,0,0,0.34501313593587135,0,0.17775770688226766,0,0.055658968486417576,0.04798276231830996,0.04977823248427901,0,0,0.0519343705011615,0,0,0,0
0.06132954657740199,0.1560095027436763,0.06901818437192861,0,0,0,0,0,0.044111910913365984,0,0,0,0,0,0,0,0,0.03644724174825778,0,0.34501313593587135,0,0.11317485839649855,0.15384149452569212,0.04880769226299356,0.026781645368347116,0.13144610588324282,0.1594753889324445,0,0,0,0.0561407425588626,0.026536407038831894,0,0
0,0,0.11823313813832817,0.03587546910631276,0,0,0,0,0.011571551210440598,0,0,0,0,0,0,0,0,0.040373498059556756,0,0,0.11317485839649855,0,0.018999717833645173,0.038572329703116054,0,0.20302572759949372,0.16770755742690086,0,0,0,0.023539539999596654,0.06368248622714444,0,0
0,0,0,0,0,0,0,0,0.026670855911063475,0,0,0,0.10878461529681774,0,0,0,0.05418724574006442,0.05643426813795078,0,0.17775770688226766,0.15384149452569212,0.018999717833645173,0,0.09352488131154402,0.08716971239410083,0.0337748412400561,0.11962096504932068,0.07328656867115141,0.03310214256607373,0,0,0,0.01785146073960736,0
0.02553514688751992,0,0,0,0,0,0,0.07892325973503675,0.018697777036370777,0,0,0,0,0,0,0.08522733882454539,0.06351922811682725,0,0,0,0.04880769226299356,0.038572329703116054,0.09352488131154402,0,0.06104422498064061,0.021060818654403277,0.1142033563003014,0,0.07742179163352686,0,0,0.04115668924356215,0,0
0.08870148581577328,0,0.07062647693727836,0,0,0.06553008605800045,0,0,0.027109253767638092,0,0,0,0,0,0,0.12437513124922932,0.13432931262049946,0,0,0.055658968486417576,0.026781645368347116,0,0.08716971239410083,0.06104422498064061,0,0,0.13899487796664264,0,0.06367651821468698,0,0,0.09663682507186735,0,0
0,0.19877480680465998,0,0,0,0,0,0,0.029137549374661467,0,0.08152104093330857,0,0,0,0,0.023840520127553635,0.05743806776733275,0,0,0.04798276231830996,0.13144610588324282,0.20302572759949372,0.0337748412400561,0.021060818654403277,0,0,0.12234165422092913,0.06644451756296779,0.12145920232879476,0,0.17940025849830854,0.18107034858323348,0.10095105010530014,0
0.012162478948690767,0,0,0.048456646921068075,0,0,0,0,0.008514593492267134,0,0,0,0,0,0,0.07038270106159172,0,0.25491654262124336,0,0.04977823248427901,0.1594753889324445,0.16770755742690086,0.11962096504932068,0.1142033563003014,0.13899487796664264,0.12234165422092913,0,0,0.0637175880867844,0.02442952054918961,0,0.04213115465629892,0,0.034504068462239815
